name,mean lumi,std lumi,percentile,mean hue,std hue,label
C:\opencv\nonwhite\0\0\0_CV006_StoneImage112_2017-12-22_174149.JPG,173.7944532,0.081001185254902,0.05885,0.033185553,0.339814977,0
C:\opencv\nonwhite\0\0\0_CV006_StoneImage36_2017-12-22_174149.JPG,175.2654974,0.0732575039215686,0.059053571,0.0156054005,0.227859675,0
C:\opencv\nonwhite\0\0\0_CV006_StoneImage74_2017-12-22_174149.JPG,173.7380047,0.0842602154509804,0.059175,0.023369509,0.275558957,0
C:\opencv\nonwhite\0\0\0_CV019_StoneImage112_2018-03-14_045607.JPG,172.6360012,0.0926545710196078,0.059125,0.0383558565,0.36337866,0
C:\opencv\nonwhite\0\0\0_CV019_StoneImage36_2018-03-14_045607.JPG,174.1411104,0.0917106529019608,0.057832143,0.0350668095,0.337681998,0
C:\opencv\nonwhite\0\0\0_CV019_StoneImage74_2018-03-14_045607.JPG,166.6108692,0.102618009333333,0.058225,0.063690355,0.453372409,0
C:\opencv\nonwhite\0\0\0_CV021_StoneImage112_2016-11-21_061322.JPG,175.2284743,0.0884873570980392,0.10684898,0.014154691,0.201874323,0
C:\opencv\nonwhite\0\0\0_CV021_StoneImage112_2020-03-04_145418.JPG,160.0722822,0.0934293250588235,0.14225,0.0489587065,0.412302874,0
C:\opencv\nonwhite\0\0\0_CV021_StoneImage36_2016-11-21_061322.JPG,173.6215262,0.101748927647059,0.106334694,0.0275986365,0.292905525,0
C:\opencv\nonwhite\0\0\0_CV021_StoneImage36_2020-03-04_145418.JPG,159.8348651,0.10833282254902,0.135235714,0.0477454595,0.409947932,0
C:\opencv\nonwhite\0\0\0_CV021_StoneImage74_2016-11-21_061322.JPG,167.6770722,0.099235509254902,0.106955102,0.04523521,0.394950365,0
C:\opencv\nonwhite\0\0\0_CV021_StoneImage74_2020-03-04_145418.JPG,160.0393302,0.10145141745098,0.146742857,0.0360191385,0.3568775,0
