index,mean,std,percentile,name,mean hue,std hue
0,173.7944532,20.65530224,0.05885,C:\opencv\nonwhite\0\0\0_CV006_StoneImage112_2017-12-22_174149.JPG,0.066371106,0.339814977
1,175.2654974,18.6806635,0.059053571,C:\opencv\nonwhite\0\0\0_CV006_StoneImage36_2017-12-22_174149.JPG,0.031210801,0.227859675
2,173.7380047,21.48635494,0.059175,C:\opencv\nonwhite\0\0\0_CV006_StoneImage74_2017-12-22_174149.JPG,0.046739018,0.275558957
3,172.6360012,23.62691561,0.059125,C:\opencv\nonwhite\0\0\0_CV019_StoneImage112_2018-03-14_045607.JPG,0.076711713,0.36337866
4,174.1411104,23.38621649,0.057832143,C:\opencv\nonwhite\0\0\0_CV019_StoneImage36_2018-03-14_045607.JPG,0.070133619,0.337681998
5,166.6108692,26.16759238,0.058225,C:\opencv\nonwhite\0\0\0_CV019_StoneImage74_2018-03-14_045607.JPG,0.12738071,0.453372409
6,175.2284743,22.56427606,0.10684898,C:\opencv\nonwhite\0\0\0_CV021_StoneImage112_2016-11-21_061322.JPG,0.028309382,0.201874323
7,160.0722822,23.82447789,0.14225,C:\opencv\nonwhite\0\0\0_CV021_StoneImage112_2020-03-04_145418.JPG,0.097917413,0.412302874
8,173.6215262,25.94597655,0.106334694,C:\opencv\nonwhite\0\0\0_CV021_StoneImage36_2016-11-21_061322.JPG,0.055197273,0.292905525
9,159.8348651,27.62486975,0.135235714,C:\opencv\nonwhite\0\0\0_CV021_StoneImage36_2020-03-04_145418.JPG,0.095490919,0.409947932
10,167.6770722,25.30505486,0.106955102,C:\opencv\nonwhite\0\0\0_CV021_StoneImage74_2016-11-21_061322.JPG,0.09047042,0.394950365
11,160.0393302,25.87011145,0.146742857,C:\opencv\nonwhite\0\0\0_CV021_StoneImage74_2020-03-04_145418.JPG,0.072038277,0.3568775
12,167.4315761,22.20258475,0.052978571,C:\opencv\nonwhite\0\0\0_CV022_StoneImage112_2016-11-24_092838.JPG,0.088007893,0.390206993
13,170.4598205,22.45496947,0.053732143,C:\opencv\nonwhite\0\0\0_CV022_StoneImage36_2016-11-24_092838.JPG,0.075264082,0.361294026
14,167.4198453,20.45839427,0.053089286,C:\opencv\nonwhite\0\0\0_CV022_StoneImage74_2016-11-24_092838.JPG,0.042934018,0.260672895
15,167.4630454,23.96256613,0.092246429,C:\opencv\nonwhite\0\0\0_CV033_StoneImage112_2016-06-15_040730.JPG,0.104899466,0.425546946
16,164.8991881,27.20860813,0.092817857,C:\opencv\nonwhite\0\0\0_CV033_StoneImage36_2016-06-15_040730.JPG,0.145977385,0.505189455
17,167.0292007,23.84386647,0.092585714,C:\opencv\nonwhite\0\0\0_CV033_StoneImage74_2016-06-15_040730.JPG,0.114536842,0.449527858
18,174.8316286,18.29150204,0.009078571,C:\opencv\nonwhite\0.0\0.0354\0.0354_CV018_StoneImage112_2016-11-23_045355.JPG,0.058924435,0.316815515
19,179.0379698,17.5237734,0.009217857,C:\opencv\nonwhite\0.0\0.0354\0.0354_CV018_StoneImage36_2016-11-23_045355.JPG,0.016678265,0.098993517
20,178.8204545,19.07442457,0.009428571,C:\opencv\nonwhite\0.0\0.0354\0.0354_CV018_StoneImage74_2016-11-23_045355.JPG,0.014633891,0.069275479
21,139.523218,32.88021127,0.053760714,C:\opencv\nonwhite\0.4\0.44068\0.44068_CV001_StoneImage112_2019-11-26_183419.JPG,0.364131698,0.652713626
